DATE,VIXCLS
2000-01-01,23.1503174603174603
2000-04-01,24.9239682539682540
2000-07-01,19.1690476190476190
2000-10-01,26.0166666666666667
2001-01-01,25.7264516129032258
2001-04-01,23.9238095238095238
2001-07-01,25.3803389830508475
2001-10-01,27.9100000000000000
2002-01-01,21.3608333333333333
2002-04-01,21.6431250000000000
2002-07-01,35.0684375000000000
2002-10-01,30.7267187500000000
2003-01-01,30.0226229508196721
2003-04-01,21.5312698412698413
2003-07-01,19.3201562500000000
2003-10-01,17.4271875000000000
2004-01-01,16.6580645161290323
2004-04-01,16.2112698412698413
2004-07-01,15.4460937500000000
2004-10-01,13.6514062500000000
2005-01-01,12.7870491803278689
2005-04-01,13.4073437500000000
2005-07-01,12.2507812500000000
2005-10-01,12.7817460317460317
2006-01-01,12.0424193548387097
2006-04-01,14.5287301587301587
2006-07-01,13.6079365079365079
2006-10-01,11.0349206349206349
2007-01-01,12.5636065573770492
2007-04-01,13.7319047619047619
2007-07-01,21.5892063492063492
2007-10-01,22.0298437500000000
2008-01-01,26.1201639344262295
2008-04-01,20.6729687500000000
2008-07-01,25.0929687500000000
2008-10-01,58.5878125000000000
2009-01-01,45.0000000000000000
2009-04-01,33.0157142857142857
2009-07-01,25.4862500000000000
2009-10-01,23.0718750000000000
2010-01-01,20.1496721311475410
2010-04-01,26.3914285714285714
2010-07-01,24.2835937500000000
2010-10-01,19.3184375000000000
2011-01-01,18.6148387096774194
2011-04-01,17.4823809523809524
2011-07-01,30.5835937500000000
2011-10-01,29.9395238095238095
2012-01-01,18.2040322580645161
2012-04-01,20.0357142857142857
2012-07-01,16.1917460317460317
2012-10-01,16.7650000000000000
2013-01-01,13.5270000000000000
2013-04-01,14.8370312500000000
2013-07-01,14.2796875000000000
